keyword,zpid,image_url,house_url,price,bedroom_s_,bathroom_s_,square_feet,status,address,listing_by,original_address,lat,lon,formatted,name,housenumber,street,postcode,suburb,district,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
"Missoula, MT",3126779,https://photos.zillowstatic.com/fp/30878fc75dc1f021b805855be64baff6-p_e.jpg,https://www.zillow.com/homedetails/5120-Larch-Ave-Missoula-MT-59802/3126779_zpid/,999900,4.0,2.0,1764.0,Active Under Contract,"5120 Larch Ave, Missoula, MT 59802",Katie Van Dorn Real Estate,"5120 Larch Ave, Missoula, MT 59802",46.91096803125,-113.9588861875,"5120 Larch Avenue, Missoula, MT 59802, United States of America",,5120.0,Larch Avenue,59802.0,,,Missoula,Missoula County,Montana,MT,United States,us,1.0,1.0,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Missoula, MT",3136410,https://photos.zillowstatic.com/fp/9b5a47c2cbb76dfeb2ca45b9a51ff9b8-p_e.jpg,https://www.zillow.com/homedetails/2103-River-Rd-Missoula-MT-59801/3136410_zpid/,993000,1.0,1.0,704.0,Active,"2103 River Rd, Missoula, MT 59801",Keller Williams Western MT,"2103 River Rd, Missoula, MT 59801",46.875941181818185,-114.03069524242424,"2103 River Road, Missoula, MT 59801, United States of America",,2103.0,River Road,59801.0,,River Road,Missoula,Missoula County,Montana,MT,United States,us,1.0,1.0,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Missoula, MT",50943675,https://photos.zillowstatic.com/fp/2efa0e56209a284b07e12f01701d711e-p_e.jpg,https://www.zillow.com/homedetails/5772-Prospect-Dr-Missoula-MT-59808/50943675_zpid/,1095000,6.0,4.0,3859.0,Active Under Contract,"5772 Prospect Dr, Missoula, MT 59808",Windermere R E Missoula,"5772 Prospect Dr, Missoula, MT 59808",46.92902342207084,-114.03629817015816,"5772 Prospect Drive, Missoula, MT 59808, United States of America",,5772.0,Prospect Drive,59808.0,,Grant Creek,Missoula,Missoula County,Montana,MT,United States,us,1.0,1.0,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Missoula, MT",3148264,https://photos.zillowstatic.com/fp/6d38fd35a7fb146182e6859eb0639b4f-p_e.jpg,https://www.zillow.com/homedetails/11967-Johanna-Dr-Missoula-MT-59804/3148264_zpid/,999000,6.0,2.0,2860.0,Active,"11967 Johanna Dr, Missoula, MT 59804",Windermere R E Missoula,"11967 Johanna Dr, Missoula, MT 59804",46.89847894726455,-114.16454901635773,"11967 Johanna Drive, Missoula, MT 59804, United States of America",,11967.0,Johanna Drive,59804.0,,,Missoula,Missoula County,Montana,MT,United States,us,1.0,1.0,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Missoula, MT",61481746,https://photos.zillowstatic.com/fp/568d1c780504c57abb6963b6ea52846e-p_e.jpg,https://www.zillow.com/homedetails/2121-River-Rd-Missoula-MT-59801/61481746_zpid/,599000,3.0,3.0,1623.0,Active,"2121 River Rd, Missoula, MT 59801",Portico Real Estate of Montana,"2121 River Rd, Missoula, MT 59801",46.87593927272727,-114.0308346969697,"2121 River Road, Missoula, MT 59801, United States of America",,2121.0,River Road,59801.0,,River Road,Missoula,Missoula County,Montana,MT,United States,us,1.0,1.0,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Missoula, MT",3150125,https://photos.zillowstatic.com/fp/3282a5c03da3c488ba185cf3e3753d02-p_e.jpg,https://www.zillow.com/homedetails/17835-Beargrass-Mountain-Rd-Missoula-MT-59808/3150125_zpid/,825000,3.0,3.0,2580.0,Active Under Contract,"17835 Beargrass Mountain Rd, Missoula, MT 59808",Soula Realty,"17835 Beargrass Mountain Rd, Missoula, MT 59808",47.042648,-114.090493,"17835 Beargrass Mountain Road, Evaro, MT 59808, United States of America",,17835.0,Beargrass Mountain Road,59808.0,,,Evaro,Missoula County,Montana,MT,United States,us,1.0,1.0,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Missoula, MT",3146928,https://photos.zillowstatic.com/fp/b6a60db3447384995a0bb89664b9844e-p_e.jpg,https://www.zillow.com/homedetails/110-Black-Pine-Trl-Missoula-MT-59803/3146928_zpid/,939000,4.0,4.0,6871.0,Active,"110 Black Pine Trl, Missoula, MT 59803",Montana Preferred Properties,"110 Black Pine Trl, Missoula, MT 59803",46.83086037777778,-114.01712988888887,"110 Black Pine Trail, Missoula, MT 59803, United States of America",,110.0,Black Pine Trail,59803.0,,,Missoula,Missoula County,Montana,MT,United States,us,1.0,1.0,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Missoula, MT",126005209,https://photos.zillowstatic.com/fp/82c9afc0d28f275100088ed48b0db1d7-p_e.jpg,https://www.zillow.com/homedetails/14500-Harpers-Bridge-Rd-Missoula-MT-59808/126005209_zpid/,370000,2.0,1.0,720.0,Active,"14500 Harpers Bridge Rd, Missoula, MT 59808",Glacier Sotheby's International Realty Missoula,"14500 Harpers Bridge Rd, Missoula, MT 59808",46.93049065959524,-114.20005260369852,"14500 Harpers Bridge Road, Missoula County, MT 59808, United States of America",,14500.0,Harpers Bridge Road,59808.0,,,,Missoula County,Montana,MT,United States,us,1.0,1.0,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Missoula, MT",3129238,https://photos.zillowstatic.com/fp/c4fc25f84ac98fbcd8a344392538afb7-p_e.jpg,https://www.zillow.com/homedetails/1133-S-3rd-St-W-Missoula-MT-59801/3129238_zpid/,499000,2.0,1.0,1728.0,Active Under Contract,"1133 S 3rd St W, Missoula, MT 59801",ERA Lambros Real Estate Missoula,"1133 S 3rd St W, Missoula, MT 59801",46.86691510810811,-114.01356005405404,"1133 South 3rd Street West, Missoula, MT 59801, United States of America",,1133.0,South 3rd Street West,59801.0,,Riverfront,Missoula,Missoula County,Montana,MT,United States,us,1.0,1.0,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Missoula, MT",3138382,https://photos.zillowstatic.com/fp/9f1bba01fc59deb094e14a2949b34854-p_e.jpg,https://www.zillow.com/homedetails/2004-S-10th-St-W-Missoula-MT-59801/3138382_zpid/,349000,3.0,1.0,1080.0,Active,"2004 S 10th St W, Missoula, MT 59801",eXp Realty - Kalispell,"2004 S 10th St W, Missoula, MT 59801",46.86058273469388,-114.02840579591836,"2004 South 10th Street West, Missoula, MT 59801, United States of America",,2004.0,South 10th Street West,59801.0,,Franklin to the Fort,Missoula,Missoula County,Montana,MT,United States,us,1.0,1.0,1.0,1.0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
